timestamp,model,scenario,input_name,input_tokens,output_tokens,total_cost_usd
2026-03-09 16:10:49,deepseek/deepseek-v3.2,Variety_of_prompts,rc34_t1,1077,1391,0.000846113
2026-03-09 16:11:46,deepseek/deepseek-v3.2,Variety_of_prompts,rc34_t2,1104,1470,0.000884976
2026-03-09 16:12:39,deepseek/deepseek-v3.2,Variety_of_prompts,rc34_t3,1160,1537,0.00095874
2026-03-09 16:14:54,deepseek/deepseek-v3.2,Variety_of_prompts,rc34_t4,1311,1260,0.00081134
2026-03-09 16:15:57,deepseek/deepseek-v3.2,Variety_of_prompts,rc34_t5,1497,1249,0.000902293
2026-03-09 16:21:25,deepseek/deepseek-v3.2,Variety_of_prompts,rc78_t1,1893,1599,0.0010998
2026-03-09 16:29:43,deepseek/deepseek-v3.2,Variety_of_prompts,rc78_t2,1914,1997,0.001313666
2026-03-09 16:34:04,deepseek/deepseek-v3.2,Variety_of_prompts,rc78_t3,1970,1908,0.00129313
2026-03-09 16:40:05,deepseek/deepseek-v3.2,Variety_of_prompts,rc78_t3,1970,1910,0.004312
2026-03-09 16:44:34,google/gemini-3.1-pro-preview,Variety_of_prompts,rc14_t1,529,3635,0.044678
2026-03-09 16:47:25,google/gemini-3-pro-preview,Variety_of_prompts,rc14_t2,550,2851,0.035312
2026-03-09 17:12:52,openrouter/free,Variety_of_prompts,rc14_t1,506,1220,0
2026-03-09 17:24:28,openrouter/free,Variety_of_prompts,rc14_t5,926,4689,0
2026-03-09 17:32:02,google/gemini-3-flash-preview,Variety_of_prompts,rc14_t3,602,852,0.002857
2026-03-11 16:57:40,google/gemini-3-flash-preview,Variety_of_prompts,rc14_t2,549,866,0.0028725
2026-03-11 16:57:49,google/gemini-3-flash-preview,Variety_of_prompts,rc14_t4,749,865,0.0029695
2026-03-11 16:57:56,google/gemini-3-flash-preview,Variety_of_prompts,rc14_t5,921,763,0.0027495
2026-03-11 16:58:11,google/gemini-3-flash-preview,Variety_of_prompts,rc34_t1,1120,1057,0.003731
2026-03-11 16:58:31,google/gemini-3-flash-preview,Variety_of_prompts,rc34_t2,1141,1390,0.0047405
2026-03-11 16:58:56,google/gemini-3-flash-preview,Variety_of_prompts,rc34_t3,1194,1437,0.004908
2026-03-11 16:59:13,google/gemini-3-flash-preview,Variety_of_prompts,rc34_t4,1341,1946,0.0065085
2026-03-11 16:59:24,google/gemini-3-flash-preview,Variety_of_prompts,rc34_t5,1514,1198,0.004351
2026-03-11 16:59:43,google/gemini-3-flash-preview,Variety_of_prompts,rc78_t1,1997,1326,0.0049765
2026-03-11 17:00:00,google/gemini-3-flash-preview,Variety_of_prompts,rc78_t2,2018,1533,0.005608
2026-03-11 17:00:20,google/gemini-3-flash-preview,Variety_of_prompts,rc78_t3,2071,2216,0.0076835
2026-03-11 17:00:36,google/gemini-3-flash-preview,Variety_of_prompts,rc78_t4,2218,2206,0.007727
2026-03-11 17:01:00,google/gemini-3-flash-preview,Variety_of_prompts,rc78_t5,2390,2335,0.0082
2026-03-11 17:02:30,openai/gpt-5.2,Variety_of_prompts,rc14_t2,536,891,0.013412
2026-03-11 17:02:52,openai/gpt-5.2,Variety_of_prompts,rc14_t3,592,749,0.011522
2026-03-11 17:03:10,openai/gpt-5.2,Variety_of_prompts,rc14_t4,734,1147,0.0173425
2026-03-11 17:05:41,openai/gpt-5.2,Variety_of_prompts,rc14_t5,905,740,0.01194375
2026-03-11 17:06:21,openai/gpt-5.2,Variety_of_prompts,rc34_t1,1086,2157,0.0320985
2026-03-11 17:06:49,openai/gpt-5.2,Variety_of_prompts,rc34_t2,1107,1933,0.02899925
2026-03-11 17:07:15,openai/gpt-5.2,Variety_of_prompts,rc34_t3,1163,1893,0.02853725
2026-03-11 17:07:43,openai/gpt-5.2,Variety_of_prompts,rc34_t4,1305,2111,0.03183775
2026-03-11 17:08:16,openai/gpt-5.2,Variety_of_prompts,rc34_t5,1476,1313,0.020965
2026-03-11 17:08:55,openai/gpt-5.2,Variety_of_prompts,rc78_t1,1909,2844,0.04315675
2026-03-11 17:09:33,openai/gpt-5.2,Variety_of_prompts,rc78_t2,1930,2840,0.0431375
2026-03-11 17:10:06,openai/gpt-5.2,Variety_of_prompts,rc78_t3,1986,2615,0.0400855
2026-03-11 17:10:55,openai/gpt-5.2,Variety_of_prompts,rc78_t4,2128,3020,0.046004
2026-03-11 17:11:29,openai/gpt-5.2,Variety_of_prompts,rc78_t5,2299,2512,0.03919125
2026-03-11 17:12:31,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc14_t1,563,776,0.005782
2026-03-11 17:12:44,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc14_t2,586,725,0.005522
2026-03-11 17:12:52,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc14_t3,642,552,0.004596
2026-03-11 17:13:04,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc14_t4,794,754,0.006112
2026-03-11 17:13:32,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc14_t5,964,779,0.006602
2026-03-11 17:14:59,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc34_t1,1157,1443,0.010972
2026-03-11 17:15:22,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc34_t2,1180,1327,0.010322
2026-03-11 17:16:26,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc34_t3,1236,1407,0.010914
2026-03-11 17:16:47,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc34_t4,1388,1477,0.011638
2026-03-11 17:17:01,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc34_t5,1558,1630,0.012896
2026-03-11 17:17:21,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc78_t1,2081,2252,0.017674
2026-03-11 17:17:40,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc78_t2,2104,2066,0.016604
2026-03-11 17:17:58,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc78_t3,2160,2921,0.021846
2026-03-11 17:18:23,mistralai/mixtral-8x22b-instruct,Variety_of_prompts,rc78_t3,2160,2085,0.01683
2026-03-11 17:19:17,meta-llama/llama-4-maverick,Variety_of_prompts,rc14_t1,487,643,0.00045885
2026-03-11 17:19:36,meta-llama/llama-4-maverick,Variety_of_prompts,rc14_t2,508,692,0.0004914
2026-03-11 17:19:46,meta-llama/llama-4-maverick,Variety_of_prompts,rc14_t3,561,680,0.00097835
2026-03-11 17:20:01,meta-llama/llama-4-maverick,Variety_of_prompts,rc14_t4,693,681,0.0010257
2026-03-11 17:20:10,meta-llama/llama-4-maverick,Variety_of_prompts,rc14_t5,849,593,0.0009791
2026-03-11 17:20:59,meta-llama/llama-4-maverick,Variety_of_prompts,rc34_t1,1046,1500,0.0010569
2026-03-11 17:21:35,meta-llama/llama-4-maverick,Variety_of_prompts,rc34_t2,1070,1464,0.0015333
2026-03-11 17:21:49,meta-llama/llama-4-maverick,Variety_of_prompts,rc34_t3,1120,1436,0.0020434
2026-03-11 17:22:54,meta-llama/llama-4-maverick,Variety_of_prompts,rc34_t5,1410,1050,0.0012732
2026-03-11 17:23:35,meta-llama/llama-4-maverick,Variety_of_prompts,rc78_t1,1848,1587,0.0012294
2026-03-11 17:24:19,meta-llama/llama-4-maverick,Variety_of_prompts,rc78_t2,1869,2085,0.00227688
2026-03-11 17:24:51,meta-llama/llama-4-maverick,Variety_of_prompts,rc34_t4,1254,1601,0.00169943
2026-03-11 17:25:30,meta-llama/llama-4-maverick,Variety_of_prompts,rc78_t3,1921,1776,0.00202827
2026-03-11 17:26:25,meta-llama/llama-4-maverick,Variety_of_prompts,rc78_t4,2056,2182,0.00240982
2026-03-11 17:27:11,meta-llama/llama-4-maverick,Variety_of_prompts,rc78_t5,2210,1947,0.00301255
2026-03-11 17:28:14,x-ai/grok-4,Variety_of_prompts,rc14_t1,1205,1589,0.02592
2026-03-11 17:28:51,x-ai/grok-4,Variety_of_prompts,rc14_t2,1230,1619,0.02644275
2026-03-11 17:29:38,x-ai/grok-4,Variety_of_prompts,rc14_t3,1287,1579,0.02601375
2026-03-11 17:30:10,x-ai/grok-4,Variety_of_prompts,rc14_t4,1450,1403,0.023865
2026-03-11 17:31:09,x-ai/grok-4,Variety_of_prompts,rc14_t5,1647,2292,0.037791
2026-03-11 17:31:55,x-ai/grok-4,Variety_of_prompts,rc34_t1,1776,1774,0.030408
2026-03-11 17:32:33,x-ai/grok-4,Variety_of_prompts,rc34_t2,1801,1593,0.027768
2026-03-11 17:33:01,x-ai/grok-4,Variety_of_prompts,rc34_t3,816,0,0
2026-03-11 17:35:19,x-ai/grok-4,Variety_of_prompts,rc34_t3,1858,5107,0.07800075
2026-03-11 17:36:15,x-ai/grok-4,Variety_of_prompts,rc34_t4,2021,1851,0.03230025
2026-03-11 17:38:09,x-ai/grok-4,Variety_of_prompts,rc34_t5,2218,2874,0.04823175
2026-03-11 17:40:40,x-ai/grok-4,Variety_of_prompts,rc78_t1,2625,2730,0.047295
